"time (UTC)","TriStar-MPPT Battery Voltage (V)","TriStar-MPPT Battery Voltage(slow) (V)","TriStar-MPPT Charge State ()","TriStar-MPPT Battery Current (A)","TriStar-MPPT Battery Current(slow) (A)"
"2019-04-26T02:57:22.214+00:00","11.98","12.08","Night","0.00","0.08"
"2019-04-26T02:57:23.214+00:00","11.98","12.08","Night","0.00","0.08"
"2019-04-26T02:57:24.214+00:00","11.98","12.08","Night","0.00","0.08"
"2019-04-26T02:57:25.214+00:00","11.98","12.07","Night","0.00","0.08"
"2019-04-26T02:57:26.214+00:00","11.98","12.07","Night","0.00","0.08"
"2019-04-26T02:57:27.214+00:00","11.98","12.07","Night","0.00","0.08"
"2019-04-26T02:57:28.214+00:00","11.99","12.06","Night","0.00","0.08"
"2019-04-26T02:57:29.214+00:00","12.05","12.06","Night","0.00","0.08"
"2019-04-26T02:57:30.214+00:00","12.07","12.06","Night","0.00","0.08"
"2019-04-26T02:57:31.215+00:00","12.07","12.06","Night","0.00","0.08"
"2019-04-26T02:57:32.215+00:00","12.11","12.07","Night","0.00","0.08"
"2019-04-26T02:57:33.215+00:00","12.17","12.07","Night","0.00","0.08"
"2019-04-26T02:57:34.215+00:00","12.17","12.07","Night","0.00","0.08"
"2019-04-26T02:57:35.215+00:00","12.24","12.08","Night","0.00","0.08"
"2019-04-26T02:57:36.215+00:00","12.29","12.10","Night","0.00","0.08"
"2019-04-26T02:57:37.214+00:00","12.29","12.10","Night","0.00","0.08"
"2019-04-26T02:57:38.214+00:00","12.32","12.11","Night","0.00","0.08"
"2019-04-26T02:57:39.214+00:00","12.39","12.12","Night","0.00","0.08"
"2019-04-26T02:57:40.214+00:00","12.46","12.14","Night","0.00","0.08"
"2019-04-26T02:57:41.214+00:00","12.46","12.14","Night","0.00","0.08"
"2019-04-26T02:57:42.214+00:00","12.52","12.17","Night","0.00","0.08"
"2019-04-26T02:57:43.214+00:00","12.60","12.19","Night","0.00","0.08"
"2019-04-26T02:57:44.214+00:00","12.60","12.19","Night","0.00","0.08"
"2019-04-26T02:57:45.214+00:00","12.69","12.22","Night","0.00","0.08"
"2019-04-26T02:57:46.214+00:00","12.77","12.25","Night","0.00","0.08"
"2019-04-26T02:57:47.214+00:00","12.84","12.28","Night","0.00","0.08"
"2019-04-26T02:57:48.215+00:00","12.84","12.28","Night","0.00","0.08"
"2019-04-26T02:57:49.215+00:00","12.90","12.32","Night","0.00","0.08"
"2019-04-26T02:57:50.215+00:00","12.99","12.35","Night","0.00","0.08"
"2019-04-26T02:57:51.215+00:00","12.99","12.35","Night","0.00","0.08"
"2019-04-26T02:57:52.215+00:00","13.03","12.39","Night","0.00","0.08"
"2019-04-26T02:57:53.215+00:00","13.09","12.43","Night","0.00","0.08"
"2019-04-26T02:57:54.214+00:00","13.17","12.47","Night","0.00","0.08"
"2019-04-26T02:57:55.214+00:00","13.17","12.47","Night","0.00","0.08"
"2019-04-26T02:57:56.214+00:00","13.22","12.51","Night","0.00","0.08"
"2019-04-26T02:57:57.214+00:00","13.28","12.55","Night","0.00","0.08"
"2019-04-26T02:57:58.214+00:00","13.28","12.55","Night","0.00","0.08"
"2019-04-26T02:57:59.214+00:00","13.30","12.59","Night","0.00","0.08"
"2019-04-26T02:58:00.214+00:00","13.32","12.63","Night","0.00","0.08"
