"time (UTC)","Flags","Vb_max_daily","Vb_min_daily","fault_daily","alarm_daily"
"2018-09-10T23:14:06.000+00:00","no flags","13.81","12.12","",""
"2018-09-12T00:14:06.000+00:00","no flags","13.66","12.05","",""
"2018-09-13T01:14:06.000+00:00","no flags","13.66","12.00","",""
"2018-09-14T02:14:06.000+00:00","no flags","13.67","11.98","",""
"2018-09-15T03:14:06.000+00:00","no flags","13.74","11.95","",""
"2018-09-16T04:14:06.000+00:00","no flags","13.72","11.93","",""
"2018-09-17T05:14:06.000+00:00","no flags","13.68","11.90","",""
"2018-09-18T06:14:06.000+00:00","no flags","13.46","11.87","",""
"2018-09-19T07:14:06.000+00:00","no flags","13.46","11.87","",""
"2018-09-20T08:14:06.000+00:00","no flags","13.73","11.85","",""
"2018-09-21T09:14:06.000+00:00","no flags","13.40","11.85","",""
"2018-09-22T10:14:06.000+00:00","no flags","13.40","11.83","",""
"2018-09-23T11:14:06.000+00:00","no flags","12.68","11.81","",""
"2018-09-24T12:14:06.000+00:00","no flags","12.00","11.90","",""
"2018-09-25T13:14:06.000+00:00","no flags","11.92","11.80","",""
"2018-09-26T14:14:06.000+00:00","no flags","11.85","11.77","",""
"2018-09-27T15:14:06.000+00:00","no flags","11.79","11.66","",""
"2018-09-28T16:14:06.000+00:00","no flags","11.72","11.54","",""
"2018-09-28T19:14:06.000+00:00","no flags","11.57","11.49","",""
"2018-09-29T20:14:06.000+00:00","power on reset, alarm occurred","13.02","11.89","","Controller was Reset"
"2018-09-30T21:14:06.000+00:00","no flags","13.02","11.63","",""
"2018-10-01T22:14:06.000+00:00","no flags","13.46","11.55","",""
"2018-10-02T23:14:06.000+00:00","no flags","13.97","11.87","",""
"2018-10-04T00:14:06.000+00:00","no flags","14.08","12.00","",""
"2018-10-05T01:14:06.000+00:00","no flags","14.13","12.10","",""
"2018-10-06T02:14:06.000+00:00","no flags","14.25","12.06","",""
"2018-10-07T03:14:06.000+00:00","no flags","14.22","12.27","",""
"2018-10-08T04:14:06.000+00:00","no flags","14.07","12.06","",""
"2018-10-09T05:14:06.000+00:00","no flags","14.28","12.08","",""
"2018-10-10T06:14:06.000+00:00","no flags","14.41","12.08","",""
"2018-10-11T07:14:06.000+00:00","no flags","14.33","12.10","",""
"2018-10-12T08:14:06.000+00:00","no flags","14.21","12.06","",""
"2018-10-13T09:14:06.000+00:00","no flags","12.84","12.00","",""
"2018-10-14T10:14:06.000+00:00","no flags","12.82","12.00","",""
"2018-10-15T11:14:06.000+00:00","no flags","12.37","11.98","",""
"2018-10-16T12:14:06.000+00:00","no flags","14.31","11.98","",""
"2018-10-17T13:14:06.000+00:00","no flags","14.25","12.11","",""
"2018-10-18T14:14:06.000+00:00","no flags","14.68","12.13","",""
"2018-10-19T15:14:06.000+00:00","no flags","13.38","12.07","",""
"2018-10-20T16:14:06.000+00:00","no flags","13.23","12.05","",""
"2018-10-21T17:14:06.000+00:00","no flags","14.51","11.93","",""
"2018-10-22T18:14:06.000+00:00","no flags","14.17","11.96","",""
"2018-10-23T19:14:06.000+00:00","no flags","14.23","11.95","",""
"2018-10-24T20:14:06.000+00:00","no flags","14.22","11.96","",""
"2018-10-25T21:14:06.000+00:00","no flags","14.16","11.94","",""
"2018-10-26T22:14:06.000+00:00","no flags","14.07","11.98","",""
"2018-10-27T23:14:06.000+00:00","no flags","13.46","11.93","",""
"2018-10-29T00:14:06.000+00:00","no flags","13.71","11.82","",""
"2018-10-30T01:14:06.000+00:00","no flags","14.11","11.94","",""
"2018-10-31T02:14:06.000+00:00","no flags","13.97","11.93","",""
"2018-11-01T03:14:06.000+00:00","no flags","14.05","11.96","",""
"2018-11-02T04:14:06.000+00:00","no flags","14.10","11.96","",""
"2018-11-03T05:14:06.000+00:00","no flags","14.21","11.96","",""
"2018-11-04T06:14:06.000+00:00","no flags","13.65","11.95","",""
"2018-11-05T07:14:06.000+00:00","no flags","14.21","11.89","",""
"2018-11-06T08:14:06.000+00:00","no flags","13.96","11.94","",""
"2018-11-07T09:14:06.000+00:00","no flags","13.13","11.84","",""
"2018-11-08T10:14:06.000+00:00","no flags","12.30","12.04","",""
"2018-11-09T11:14:06.000+00:00","no flags","12.34","12.00","",""
"2018-11-10T12:14:06.000+00:00","no flags","13.95","11.94","",""
"2018-11-11T13:14:06.000+00:00","no flags","14.51","12.16","",""
"2018-11-12T14:14:06.000+00:00","no flags","13.11","12.11","",""
"2018-11-13T15:14:06.000+00:00","no flags","12.19","12.08","",""
"2018-11-14T16:14:06.000+00:00","no flags","13.61","12.10","",""
"2018-11-15T17:14:06.000+00:00","no flags","13.42","12.04","",""
"2018-11-16T18:14:06.000+00:00","no flags","14.66","12.09","",""
"2018-11-17T19:14:06.000+00:00","no flags","14.73","11.98","",""
"2018-11-18T20:14:06.000+00:00","no flags","14.32","11.98","",""
"2018-11-19T21:14:06.000+00:00","no flags","14.36","12.04","",""
"2018-11-20T22:14:06.000+00:00","no flags","14.62","12.34","",""
"2018-11-21T23:14:06.000+00:00","no flags","14.82","12.19","",""
"2018-11-23T00:14:06.000+00:00","no flags","13.17","11.98","",""
"2018-11-24T01:14:06.000+00:00","no flags","14.12","12.06","",""
"2018-11-25T02:14:06.000+00:00","no flags","14.56","12.12","",""
"2018-11-26T03:14:06.000+00:00","no flags","14.47","12.13","",""
"2018-11-27T04:14:06.000+00:00","no flags","12.97","11.94","",""
"2018-11-28T05:14:06.000+00:00","no flags","14.27","12.05","",""
